Province,Municipality,Address,Typology,Reflui Trattati,Potenz. (A.E.),Corpo Recettore,Recettore Finale,full_address,fallback_address,Latitude,Longitude
NAPOLI,VICO EQUENSE,Marina di Aequa,Comunale,Urbani,140000,Corpo Idrico Superficiale,Mar Tirreno,"Marina di Aequa, VICO EQUENSE, Campania, Italy","VICO EQUENSE, NAPOLI, Campania, Italy",40.6592693,14.4174263
CASERTA,CELLOLE,LOC. DOCCIA,Depuratore,Urbani,90000,Fosso Ariella,,"LOC. DOCCIA, CELLOLE, Campania, Italy","CELLOLE, CASERTA, Campania, Italy",41.204814,13.854317
NAPOLI,TORRE DEL GRECO,Via S.Giuseppe alle Paludi,Comunale,Urbani,90000,Corpo Idrico Superficiale,Mar Tirreno,"Via S.Giuseppe alle Paludi, TORRE DEL GRECO, Campania, Italy","TORRE DEL GRECO, NAPOLI, Campania, Italy",40.7816726,14.3707617
SALERNO,AMALFI,LOC. CIECO,Comunale,Urbani,53000,Condotta Sottomarina,Mare,"LOC. CIECO, AMALFI, Campania, Italy","AMALFI, SALERNO, Campania, Italy",40.63367,14.6026095
AVELLINO,CALITRI,Area ASI Isca,Consortile,Urbani + Industriali,50000,Fiume Ofanto,Fiume Ofanto,"Area ASI Isca, CALITRI, Campania, Italy","CALITRI, AVELLINO, Campania, Italy",40.902119,15.430556
SALERNO,CASTELLABATE,LOC. MAROCCIA,Comunale,Urbani,45000,Condotta Sottomarina,Mare,"LOC. MAROCCIA, CASTELLABATE, Campania, Italy","CASTELLABATE, SALERNO, Campania, Italy",40.2779623,14.9554292
AVELLINO,NUSCO,F2,Consortile,Industriali,42000,Torrente Iemale,Fiume Ofanto,"F2, NUSCO, Campania, Italy","NUSCO, AVELLINO, Campania, Italy",40.8869501,15.0840037
AVELLINO,NUSCO,Area Industriale F2,Consortile,Industriali,42000,Torrente Iemale,Torrente Iemale,"Area Industriale F2, NUSCO, Campania, Italy","NUSCO, AVELLINO, Campania, Italy",40.8869501,15.0840037
SALERNO,ASCEA,ASCEA MARINA LOC. PETROSA,Comunale,Urbani,37000,Condotta Sottomarina,Mare,"ASCEA MARINA LOC. PETROSA, ASCEA, Campania, Italy","ASCEA, SALERNO, Campania, Italy",40.1416021,15.18576
SALERNO,CASALVELINO,FRAZ. MARINA,Comunale,Urbani,30240,Condotta Sottomarina,Mare,"FRAZ. MARINA, CASALVELINO, Campania, Italy","CASALVELINO, SALERNO, Campania, Italy",40.1922857,15.1063444
